id,area_id,year,avg_price_per_sqm,growth_rate,avg_rent_per_sqm
0,7,2025.0,6030.0,26.22,26.18
1,8,2025.0,995.68,-25.73,4.52
2,13,2025.0,2342.29,24.5,11.69
3,25,2025.0,1804.3,41.71,9.89
4,35,2025.0,1789.65,104.69,10.11
5,36,2025.0,2015.84,-31.75,11.22
6,39,2025.0,2259.03,-21.22,10.79
7,40,2025.0,1107.77,-12.42,5.02
8,46,2025.0,8832.05,-34.26,46.74
9,52,2025.0,10509.35,-35.55,48.17
10,66,2025.0,2035.54,44.05,9.75
11,68,2025.0,2685.06,-11.52,12.55
12,72,2025.0,4995.58,117.45,25.69
13,78,2025.0,5481.29,67.18,31.33
14,79,2025.0,2534.9,36.94,11.62
15,83,2025.0,2579.57,58.68,13.26
16,86,2025.0,4332.21,-19.19,20.9
17,91,2025.0,1247.72,-17.73,5.64
18,93,2025.0,1810.41,-37.51,8.67
19,94,2025.0,2112.96,-34.34,11.36
20,102,2025.0,9525.52,16.66,50.56
21,103,2025.0,2139.04,110.74,9.47
22,105,2025.0,4967.6,17.56,28.36
23,107,2025.0,2017.62,-16.16,11.28
24,113,2025.0,9946.1,21.86,53.71
25,118,2025.0,9087.39,-1.12,45.44
26,123,2025.0,3000.28,74.21,13.75
27,126,2025.0,3897.77,0.93,19.07
28,132,2025.0,2634.44,72.68,12.03
29,135,2025.0,2110.52,31.9,11.26
30,136,2025.0,2426.91,12.07,13.02
31,139,2025.0,4458.7,21.04,22.4
32,143,2025.0,556.03,-90.12,2.61
33,144,2025.0,7051.28,118.66,35.32
34,147,2025.0,6087.48,23.09,27.44
35,176,2025.0,1730.02,3.04,7.66
36,178,2025.0,2318.77,162.28,11.75
37,185,2025.0,4284.85,275.9,18.78
38,186,2025.0,6931.73,35.8,34.6
39,188,2025.0,1133.01,-83.87,5.13
40,193,2025.0,2918.02,20.33,12.99
41,194,2025.0,3986.53,-13.96,17.47
42,195,2025.0,5656.09,7.99,32.1
43,199,2025.0,10771.85,63.95,62.12
44,201,2025.0,7318.2,13.98,37.44
45,202,2025.0,3312.44,-26.94,16.31
46,204,2025.0,7697.71,100.04,33.74
47,208,2025.0,7232.56,54.5,31.58
48,214,2025.0,5969.45,31.9,27.81
49,216,2025.0,5652.06,-60.45,30.62
50,222,2025.0,8608.43,-6.85,44.33
51,223,2025.0,5882.82,8.97,28.97
52,224,2025.0,6572.43,8.85,29.8
