id,deal_id,due_date,amount,payment_type,is_paid
0,0,2022-11-01,140774.2,booking,False
1,0,2023-07-29,106181.02,installment,False
2,0,2023-10-27,192607.15,installment,False
3,0,2024-01-25,159799.09,installment,False
4,0,2024-04-24,139798.77,installment,False
5,0,2024-10-21,131203.73,handover,False
6,1,2022-04-17,81774.83,booking,False
7,1,2023-01-12,73399.18,installment,False
8,1,2023-04-12,58712.54,installment,False
9,1,2023-07-11,179926.42,installment,False
10,1,2023-10-09,140167.25,installment,False
11,1,2024-04-06,241614.52,handover,False
12,2,2023-02-23,71929.1,booking,False
13,2,2023-11-20,53087.67,installment,False
14,2,2024-02-18,195486.48,installment,False
15,2,2024-05-18,174866.4,installment,False
16,2,2024-08-16,81850.87,installment,False
17,2,2025-02-12,136364.99,handover,False
18,3,2021-10-22,250021.46,booking,False
19,3,2022-07-19,77510.68,installment,False
20,3,2022-10-17,95636.34,installment,False
21,3,2023-01-15,128713.46,installment,False
22,3,2023-04-15,114791.75,installment,False
23,3,2023-10-12,158245.83,handover,False
24,4,2023-01-19,776506.31,booking,False
25,4,2023-10-16,141777.93,installment,False
26,4,2024-01-14,70924.08,installment,False
27,4,2024-04-13,93821.7,installment,False
28,4,2024-07-12,104954.28,installment,False
29,4,2025-01-08,191214.0,handover,False
30,5,2023-03-06,1611187.87,booking,False
31,5,2023-12-01,167776.39,installment,False
32,5,2024-02-29,79951.07,installment,False
33,5,2024-05-29,127135.17,installment,False
34,5,2024-08-27,138862.19,installment,False
35,5,2025-02-23,109290.08,handover,False
36,6,2021-08-11,812123.79,booking,False
37,6,2022-05-08,141131.73,installment,False
38,6,2022-08-06,75578.62,installment,False
39,6,2022-11-04,59757.74,installment,False
40,6,2023-02-02,192332.83,installment,False
41,6,2023-08-01,293126.41,handover,False
42,7,2022-10-13,634253.77,booking,False
43,7,2023-07-10,171259.6,installment,False
44,7,2023-10-08,95692.07,installment,False
45,7,2024-01-06,64650.82,installment,False
46,7,2024-04-05,152634.95,installment,False
47,7,2024-10-02,188030.5,handover,False
48,8,2022-03-05,190761.43,booking,False
49,8,2022-11-30,68305.74,installment,False
50,8,2023-02-28,124276.54,installment,False
51,8,2023-05-29,55158.28,installment,False
52,8,2023-08-27,186398.06,installment,False
53,8,2024-02-23,151756.0,handover,False
54,9,2024-03-17,55374.31,booking,False
55,9,2024-12-12,149378.34,installment,False
56,9,2025-03-12,96756.66,installment,False
57,9,2025-06-10,128010.2,installment,False
58,9,2025-09-08,132006.54,installment,False
59,9,2026-03-07,136970.89,handover,False
60,10,2024-02-04,687700.81,booking,False
61,10,2024-10-31,195437.69,installment,False
62,10,2025-01-29,166269.92,installment,False
63,10,2025-04-29,190924.84,installment,False
64,10,2025-07-28,184224.1,installment,False
65,10,2026-01-24,219580.0,handover,False
66,11,2023-01-19,90392.18,booking,False
67,11,2023-10-16,188281.14,installment,False
68,11,2024-01-14,63273.88,installment,False
69,11,2024-04-13,79397.43,installment,False
70,11,2024-07-12,56784.09,installment,False
71,11,2025-01-08,165066.07,handover,False
72,12,2022-02-20,114728.4,booking,False
73,12,2022-11-17,108301.59,installment,False
74,12,2023-02-15,90702.35,installment,False
75,12,2023-05-16,174310.63,installment,False
76,12,2023-08-14,103513.0,installment,False
77,12,2024-02-10,156186.9,handover,False
78,13,2024-03-04,160924.97,booking,False
79,13,2024-11-29,131404.41,installment,False
80,13,2025-02-27,71138.63,installment,False
81,13,2025-05-28,170329.55,installment,False
82,13,2025-08-26,61182.6,installment,False
83,13,2026-02-22,297377.39,handover,False
84,14,2021-07-16,448108.46,booking,False
85,14,2022-04-12,165836.72,installment,False
86,14,2022-07-11,79807.35,installment,False
87,14,2022-10-09,50828.32,installment,False
88,14,2023-01-07,172319.21,installment,False
89,14,2023-07-06,241371.47,handover,False
90,15,2022-09-15,129028.98,booking,False
91,15,2023-06-12,159351.08,installment,False
92,15,2023-09-10,165690.55,installment,False
93,15,2023-12-09,61106.7,installment,False
94,15,2024-03-08,103769.86,installment,False
95,15,2024-09-04,123173.81,handover,False
96,16,2023-04-20,104534.54,booking,False
97,16,2024-01-15,179465.51,installment,False
98,16,2024-04-14,143494.72,installment,False
99,16,2024-07-13,99634.7,installment,False
100,16,2024-10-11,59533.75,installment,False
101,16,2025-04-09,162196.46,handover,False
102,17,2022-02-15,111197.8,booking,False
103,17,2022-11-12,98777.5,installment,False
104,17,2023-02-10,159440.93,installment,False
105,17,2023-05-11,145633.62,installment,False
106,17,2023-08-09,183081.91,installment,False
107,17,2024-02-05,194442.99,handover,False
108,18,2021-10-22,442537.57,booking,False
109,18,2022-07-19,67939.14,installment,False
110,18,2022-10-17,156986.72,installment,False
111,18,2023-01-15,164117.76,installment,False
112,18,2023-04-15,134191.58,installment,False
113,18,2023-10-12,254193.44,handover,False
114,19,2022-08-03,781593.8,booking,False
115,19,2023-04-30,124069.34,installment,False
116,19,2023-07-29,128409.92,installment,False
117,19,2023-10-27,114131.15,installment,False
118,19,2024-01-25,53812.87,installment,False
119,19,2024-07-23,121578.29,handover,False
120,20,2022-07-12,141824.72,booking,False
121,20,2023-04-08,54714.38,installment,False
122,20,2023-07-07,145461.56,installment,False
123,20,2023-10-05,97153.4,installment,False
124,20,2024-01-03,126285.6,installment,False
125,20,2024-07-01,281513.29,handover,False
126,21,2023-04-06,85502.16,booking,False
127,21,2024-01-01,87393.83,installment,False
128,21,2024-03-31,111557.44,installment,False
129,21,2024-06-29,163332.67,installment,False
130,21,2024-09-27,84319.72,installment,False
131,21,2025-03-26,115395.98,handover,False
132,22,2022-10-23,682901.98,booking,False
133,22,2023-07-20,93462.72,installment,False
134,22,2023-10-18,74183.19,installment,False
135,22,2024-01-16,189454.65,installment,False
136,22,2024-04-15,171218.06,installment,False
137,22,2024-10-12,226680.75,handover,False
138,23,2021-11-14,246963.09,booking,False
139,23,2022-08-11,180719.09,installment,False
140,23,2022-11-09,170550.81,installment,False
141,23,2023-02-07,77985.51,installment,False
142,23,2023-05-08,183883.85,installment,False
143,23,2023-11-04,207868.45,handover,False
144,24,2022-09-28,267424.2,booking,False
145,24,2023-06-25,171116.02,installment,False
146,24,2023-09-23,184413.69,installment,False
147,24,2023-12-22,97700.52,installment,False
148,24,2024-03-21,66507.79,installment,False
149,24,2024-09-17,145587.03,handover,False
150,25,2022-05-06,646617.24,booking,False
151,25,2023-01-31,114066.17,installment,False
152,25,2023-05-01,172702.21,installment,False
153,25,2023-07-30,179109.59,installment,False
154,25,2023-10-28,51042.82,installment,False
155,25,2024-04-25,202149.46,handover,False
156,26,2024-04-03,941432.31,booking,False
157,26,2024-12-29,112611.65,installment,False
158,26,2025-03-29,83316.17,installment,False
159,26,2025-06-27,67979.81,installment,False
160,26,2025-09-25,100642.28,installment,False
161,26,2026-03-24,288581.94,handover,False
162,27,2022-01-22,268985.49,booking,False
163,27,2022-10-19,98480.44,installment,False
164,27,2023-01-17,127818.59,installment,False
165,27,2023-04-17,155452.84,installment,False
166,27,2023-07-16,104544.44,installment,False
167,27,2024-01-12,294356.42,handover,False
168,28,2021-09-19,353095.5,booking,False
169,28,2022-06-16,194367.09,installment,False
170,28,2022-09-14,87767.34,installment,False
171,28,2022-12-13,124587.28,installment,False
172,28,2023-03-13,95131.75,installment,False
173,28,2023-09-09,156968.1,handover,False
174,29,2023-05-18,353859.6,booking,False
175,29,2024-02-12,55533.04,installment,False
176,29,2024-05-12,141434.65,installment,False
177,29,2024-08-10,125401.85,installment,False
178,29,2024-11-08,57721.81,installment,False
179,29,2025-05-07,155729.29,handover,False
180,30,2023-05-02,195509.0,booking,False
181,30,2024-01-27,186239.88,installment,False
182,30,2024-04-26,85934.28,installment,False
183,30,2024-07-25,71734.23,installment,False
184,30,2024-10-23,123417.91,installment,False
185,30,2025-04-21,297130.09,handover,False
186,31,2022-03-05,107627.74,booking,False
187,31,2022-11-30,86308.29,installment,False
188,31,2023-02-28,150820.33,installment,False
189,31,2023-05-29,164242.94,installment,False
190,31,2023-08-27,85645.63,installment,False
191,31,2024-02-23,245643.27,handover,False
192,32,2023-08-03,132758.87,booking,False
193,32,2024-04-29,105167.47,installment,False
194,32,2024-07-28,144845.87,installment,False
195,32,2024-10-26,145029.46,installment,False
196,32,2025-01-24,130366.2,installment,False
197,32,2025-07-23,118057.95,handover,False
198,33,2022-10-17,117503.39,booking,False
199,33,2023-07-14,175295.37,installment,False
200,33,2023-10-12,98117.01,installment,False
201,33,2024-01-10,77977.78,installment,False
202,33,2024-04-09,56116.27,installment,False
203,33,2024-10-06,218178.59,handover,False
204,34,2022-07-18,316002.85,booking,False
205,34,2023-04-14,151634.65,installment,False
206,34,2023-07-13,52488.17,installment,False
207,34,2023-10-11,126813.96,installment,False
208,34,2024-01-09,83974.37,installment,False
209,34,2024-07-07,229034.56,handover,False
210,35,2023-07-24,576310.34,booking,False
211,35,2024-04-19,76154.96,installment,False
212,35,2024-07-18,153640.66,installment,False
213,35,2024-10-16,108010.3,installment,False
214,35,2025-01-14,190509.5,installment,False
215,35,2025-07-13,127504.19,handover,False
216,36,2022-02-09,68245.49,booking,False
217,36,2022-11-06,101159.95,installment,False
218,36,2023-02-04,67021.03,installment,False
219,36,2023-05-05,188704.04,installment,False
220,36,2023-08-03,181600.9,installment,False
221,36,2024-01-30,151588.33,handover,False
222,37,2023-04-09,316800.05,booking,False
223,37,2024-01-04,148997.61,installment,False
224,37,2024-04-03,172583.33,installment,False
225,37,2024-07-02,133280.12,installment,False
226,37,2024-09-30,129447.59,installment,False
227,37,2025-03-29,148370.46,handover,False
228,38,2022-09-21,86446.38,booking,False
229,38,2023-06-18,63965.42,installment,False
230,38,2023-09-16,184582.36,installment,False
231,38,2023-12-15,185062.71,installment,False
232,38,2024-03-14,144965.22,installment,False
233,38,2024-09-10,167805.96,handover,False
234,39,2022-01-01,73651.64,booking,False
235,39,2022-09-28,102381.44,installment,False
236,39,2022-12-27,158893.35,installment,False
237,39,2023-03-27,184566.54,installment,False
238,39,2023-06-25,183062.96,installment,False
239,39,2023-12-22,255975.11,handover,False
240,40,2023-03-17,143125.86,booking,False
241,40,2023-12-12,146304.75,installment,False
242,40,2024-03-11,62620.99,installment,False
243,40,2024-06-09,74244.31,installment,False
244,40,2024-09-07,184783.13,installment,False
245,40,2025-03-06,221285.81,handover,False
246,41,2023-10-26,84076.49,booking,False
247,41,2024-07-22,51379.56,installment,False
248,41,2024-10-20,65220.73,installment,False
249,41,2025-01-18,149525.27,installment,False
250,41,2025-04-18,50759.24,installment,False
251,41,2025-10-15,132161.61,handover,False
252,42,2023-04-12,275733.99,booking,False
253,42,2024-01-07,132310.07,installment,False
254,42,2024-04-06,153784.28,installment,False
255,42,2024-07-05,147794.19,installment,False
256,42,2024-10-03,83640.4,installment,False
257,42,2025-04-01,242435.84,handover,False
258,43,2023-01-31,320030.95,booking,False
259,43,2023-10-28,85587.36,installment,False
260,43,2024-01-26,98809.95,installment,False
261,43,2024-04-25,161973.71,installment,False
262,43,2024-07-24,147444.93,installment,False
263,43,2025-01-20,269844.68,handover,False
264,44,2023-06-11,319058.93,booking,False
265,44,2024-03-07,148641.93,installment,False
266,44,2024-06-05,135246.29,installment,False
267,44,2024-09-03,64051.22,installment,False
268,44,2024-12-02,105157.37,installment,False
269,44,2025-05-31,153040.47,handover,False
270,45,2022-09-05,76334.01,booking,False
271,45,2023-06-02,86598.45,installment,False
272,45,2023-08-31,195951.58,installment,False
273,45,2023-11-29,108964.66,installment,False
274,45,2024-02-27,183806.98,installment,False
275,45,2024-08-25,226227.73,handover,False
276,46,2022-08-11,126078.5,booking,False
277,46,2023-05-08,169221.7,installment,False
278,46,2023-08-06,125395.56,installment,False
279,46,2023-11-04,136535.58,installment,False
280,46,2024-02-02,123877.65,installment,False
281,46,2024-07-31,139048.6,handover,False
282,47,2022-08-24,1016773.74,booking,False
283,47,2023-05-21,158367.82,installment,False
284,47,2023-08-19,92115.85,installment,False
285,47,2023-11-17,53647.39,installment,False
286,47,2024-02-15,146820.84,installment,False
287,47,2024-08-13,135422.14,handover,False
288,48,2021-09-15,28257.8,booking,False
289,48,2022-06-12,191068.79,installment,False
290,48,2022-09-10,193089.29,installment,False
291,48,2022-12-09,187229.66,installment,False
292,48,2023-03-09,105523.81,installment,False
293,48,2023-09-05,103091.32,handover,False
294,49,2024-02-10,169244.44,booking,False
295,49,2024-11-06,189247.78,installment,False
296,49,2025-02-04,114227.62,installment,False
297,49,2025-05-05,194998.22,installment,False
298,49,2025-08-03,194543.0,installment,False
299,49,2026-01-30,270601.89,handover,False
300,50,2023-05-28,116914.42,booking,False
301,50,2024-02-22,94167.33,installment,False
302,50,2024-05-22,107764.66,installment,False
303,50,2024-08-20,177670.5,installment,False
304,50,2024-11-18,97538.3,installment,False
305,50,2025-05-17,133898.55,handover,False
306,51,2024-05-11,48861.36,booking,False
307,51,2025-02-05,133520.19,installment,False
308,51,2025-05-06,190423.22,installment,False
309,51,2025-08-04,154404.47,installment,False
310,51,2025-11-02,135509.18,installment,False
311,51,2026-05-01,119435.3,handover,False
312,52,2022-08-19,126680.98,booking,False
313,52,2023-05-16,142251.08,installment,False
314,52,2023-08-14,198508.08,installment,False
315,52,2023-11-12,71012.6,installment,False
316,52,2024-02-10,127749.45,installment,False
317,52,2024-08-08,275474.61,handover,False
318,53,2022-10-22,383018.12,booking,False
319,53,2023-07-19,161115.29,installment,False
320,53,2023-10-17,154552.36,installment,False
321,53,2024-01-15,155372.61,installment,False
322,53,2024-04-14,103923.67,installment,False
323,53,2024-10-11,158718.37,handover,False
